No
That's terrible
Weird
That sucks
I don't know
My bad
Nothing exciting
But not yet
I'm not too sure
I am confused
No you don't
Don't know
/: Exactly
Ugh
Nothing
I don't get it
I don't think so
Yeah sorry
Sigh
I was confused
/:
I don't understand your question
It's terrible
Sorry!
Not sure though
Very sorry
What were you thinking?
I edon't know
Sorry I was confused
I don't understand
Ouch
No you didn't
That is wrong
:/
no
Nope. Why?
Oops Shoot
Sigh
No it's not
Nope!
